time = 4.558014000000e-03, iter = 0, dt = 5.242880e-04
time = 4.558014000000e-03, iter = 1, dt = 5.242880e-04
time = 4.558014000000e-03, iter = 2, dt = 5.242880e-04
time = 5.606590000000e-03, iter = 0, dt = 1.048576e-03
time = 5.606590000000e-03, iter = 1, dt = 1.048576e-03
time = 5.606590000000e-03, iter = 2, dt = 1.048576e-03
time = 6.655166000000e-03, iter = 0, dt = 1.048576e-03
time = 6.655166000000e-03, iter = 1, dt = 1.048576e-03
time = 6.655166000000e-03, iter = 2, dt = 1.048576e-03
time = 7.703742000000e-03, iter = 0, dt = 1.048576e-03
time = 7.703742000000e-03, iter = 1, dt = 1.048576e-03
time = 7.703742000000e-03, iter = 2, dt = 1.048576e-03
time = 9.800894000000e-03, iter = 0, dt = 2.097152e-03
time = 9.800894000000e-03, iter = 1, dt = 2.097152e-03
time = 9.800894000000e-03, iter = 2, dt = 2.097152e-03
